,Month,Alert,Alert_sd,Barrow,Barrow_sd,Summit,Summit_sd,Palmer,Palmer_sd,Neumayer,Neumayer_sd,Halley,Halley_sd,Kohnen,Kohnen_sd,Concordia,Concordia_sd,Irafoss,Irafoss_sd,Bredkalen,Bredkalen_sd,Karasjok,Karasjok_sd,Pallas,Pallas_sd,Zeppelin,Zeppelin_sd,Nord,Nord_sd,Ddu,Ddu_sd
0,1,0.223,0.066,0.3831,0.3723,0.0242,0.0313,1.0095,0.3136,0.198,0.2,0.066,0.0952,0.0049,0.0027,0.003,0.0012,1.4148333333333332,1.595801585629008,0.1400296495956873,0.171990184146799,0.2738489208633093,0.3810501433535141,0.1801936660268714,0.2205713090219346,0.2860260368663594,0.328196937514954,0.2908870967741935,0.2018214683245541,0.661,0.521
1,2,0.304,0.156,0.3264,0.4019,0.0147,0.0218,1.1805,0.3348,0.2,0.17,0.0309,0.0398,0.0066,0.0035,0.0039,0.0016,1.2359364303178484,1.303987194642696,0.1525808383233533,0.1931594225364386,0.3229527559055118,0.4976644480948115,0.1642185031185031,0.1911206003707816,0.3193874365482234,0.3711564546203946,0.2369,0.185090513817118,0.558,0.477
2,3,0.194,0.073,0.2725,0.3156,0.0134,0.0574,1.2340,0.5826,0.45,0.25,0.0382,0.0708,0.0094,0.0043,0.0043,0.0023,1.11030289532294,1.2012186026131624,0.2122533692722371,0.2463370147170303,0.3192114695340501,0.3236684205891604,0.2437375478927202,0.2201105759630587,0.2791591836734693,0.2926785669914648,0.2529538461538461,0.1893289490847569,0.282,0.329
3,4,0.175,0.082,0.1942,0.2266,0.0144,0.0375,1.1675,0.4972,0.37,0.37,0.0469,0.0725,0.0182,0.005,0.0019,0.0008,0.997552752293578,0.9794646811287352,0.1863342776203966,0.2385577316921753,0.2425,0.2500152505000954,0.2078923679060665,0.2286542246953872,0.2782758949880668,0.3114148808973321,0.1814918032786885,0.1533380386543425,0.297,0.310
4,5,0.091,0.047,0.1322,0.1349,0.0111,0.0272,1.2271,0.7473,0.64,0.65,0.0255,0.0433,0.0226,0.0105,0.0024,0.0011,0.8322895377128955,0.8454017323936447,0.1161603260869565,0.1208271170274193,0.2315384615384615,0.3133274565412747,0.1225341772151898,0.1367345128345133,0.208456511627907,0.2947013993865484,0.0807878787878787,0.0990518924063411,0.260,0.259
5,6,0.026,0.013,0.0836,0.1214,0.0007,0.0,1.0807,1.1304,0.36,0.26,0.0621,0.1124,0.0537,0.0505,0.0051,0.003,0.7850773195876289,0.719877601713023,0.0847787114845938,0.0953449903559464,0.1878846153846154,0.2358009151319637,0.0874372400756143,0.1025063663615149,0.1470351895734597,0.1744750727584896,0.015234375,0.0227636177192173,0.257,0.266
6,7,0.022,0.007,0.17,0.1915,0.0005,0.0,0.7471,0.3639,0.3,0.3,0.0801,0.1214,0.0379,0.0098,0.0061,0.0076,0.5561488888888889,0.4786000255581287,0.0741182795698924,0.0884196499074415,0.1237591240875912,0.1293492886318267,0.0732869047619047,0.092801777610008,0.1284168396770472,0.2058557831527628,0.0174406779661016,0.0209055933667331,0.276,0.268
7,8,0.023,0.01,0.5854,0.1484,0.0064,0.0255,0.7851,0.5467,0.3,0.22,0.0768,0.1288,0.0295,0.0067,0.0052,0.0036,0.7121073059360731,0.7948066298465953,0.090127027027027,0.1121546434045775,0.1175268817204301,0.1327895715707343,0.0767369523809523,0.0862845096701308,0.120223227383863,0.2137153483796211,0.0439791666666666,0.0586999182946741,0.254,0.233
8,9,0.03,0.038,0.4235,0.2158,0.0067,0.0256,0.7128,0.4692,0.3,0.25,0.0744,0.0875,0.0565,0.0034,0.0092,0.0075,0.8926651376146789,1.0775820688910955,0.1143977591036414,0.1362428383666467,0.168996282527881,0.1669282287937495,0.1238244575936883,0.2116221664604226,0.1808321563682219,0.3080463083177556,0.0469491525423728,0.0547027780070009,0.282,0.286
9,10,0.155,0.106,0.7661,0.642,0.0005,0.0209,0.7802,0.5216,0.23,0.15,0.0331,0.0364,0.066,0.0218,0.0138,0.0076,0.7632802690582959,0.8964275363989606,0.1055495750708215,0.1389085231042793,0.2321146953405018,0.3150188548071203,0.125802722323049,0.1690500886822735,0.2362729634002361,0.2887550732534823,0.1084193548387096,0.1462451959011547,0.275,0.292
10,11,0.25,0.074,0.437,0.4127,0.0139,0.0245,1.0191,0.5731,0.23,0.18,0.0197,0.037,0.0425,0.0041,0.0192,0.0082,0.8618755760368663,1.0610127360467274,0.1053248587570621,0.147457101278311,0.1996641791044776,0.2701273785820741,0.1479264591439688,0.203675772042878,0.3246114928909953,0.4632967206983751,0.2667307692307692,0.2356561232950579,0.278,0.306
11,12,0.285,0.099,0.4829,0.4343,0.0176,0.0306,0.9286,0.3730,0.185,0.09,0.0476,0.0901,0.0112,0.0041,0.0059,0.0015,1.0827939110070255,1.26095273230537,0.1179702702702702,0.1502555968049126,0.2545955882352941,0.2881379046286442,0.1680088353413654,0.2058145886756313,0.3335671328671328,0.4146986016257708,0.3589818181818182,0.2569155712961182,0.421,0.487
